step,reward,tploss,action_a,action_f,A,f,expr
1,-0.344895912924964,0.844895912924964,-0.6348327994346619,1.0,-100.0,-80.0,-100.00[m s^-1] | -80.00[m s^-1]
2,-0.2692381366617871,0.7692381366617871,0.1241588443517685,1.0,-97.51682311296463,-60.0,-97.52[m s^-1] | -60.00[m s^-1]
3,-0.275384021719266,0.775384021719266,0.9213759899139404,-1.0,-79.08930331468582,-80.0,-79.09[m s^-1] | -80.00[m s^-1]
4,-0.26736839038817106,0.7673683903881711,1.0,0.3351454436779022,-59.08930331468582,-73.29709112644196,-59.09[m s^-1] | -73.30[m s^-1]
5,-0.316674091248183,0.816674091248183,0.32004788517951965,1.0,-52.68834561109543,-53.297091126441956,-52.69[m s^-1] | -53.30[m s^-1]
6,-0.291215128145091,0.791215128145091,0.4535259008407593,-0.2984342873096466,-43.61782759428024,-59.26577687263489,-43.62[m s^-1] | -59.27[m s^-1]
7,-0.30902808630815204,0.809028086308152,-0.4899905025959015,-0.48629847168922424,-53.41763764619827,-68.99174630641937,-53.42[m s^-1] | -68.99[m s^-1]
8,-0.16585973838565593,0.6658597383856559,1.0,1.0,-33.41763764619827,-48.99174630641937,-33.42[m s^-1] | -48.99[m s^-1]
9,-0.06846529341298402,0.568465293412984,0.9996280670166016,1.0,-13.425076305866241,-28.991746306419373,-13.43[m s^-1] | -28.99[m s^-1]
10,-0.018497408242033053,0.518497408242033,1.0,0.23506687581539154,6.5749236941337585,-24.29040879011154,6.57[m s^-1] | -24.29[m s^-1]
11,-0.01728854861919704,0.517288548619197,0.654559314250946,-0.7799059748649597,19.66610997915268,-39.888528287410736,19.67[m s^-1] | -39.89[m s^-1]
12,-0.023598406622286072,0.5235984066222861,-1.0,-1.0,-0.33389002084732056,-59.888528287410736,-0.33[m s^-1] | -59.89[m s^-1]
13,-0.026179025342010998,0.526179025342011,-0.25944602489471436,-1.0,-5.522810518741608,-79.88852828741074,-5.52[m s^-1] | -79.89[m s^-1]
14,0.084816598203591,0.415183401796409,0.6444637775421143,1.0,7.3664650321006775,-59.888528287410736,7.37[m s^-1] | -59.89[m s^-1]
15,0.025286973741259988,0.47471302625874,-0.8010692596435547,-0.013710319995880127,-8.654920160770416,-60.16273468732834,-8.65[m s^-1] | -60.16[m s^-1]
16,-0.008961061551155058,0.5089610615511551,-0.14088542759418488,0.6922352313995361,-11.472628712654114,-46.318030059337616,-11.47[m s^-1] | -46.32[m s^-1]
17,0.0013966342641229534,0.49860336573587705,-0.3336993455886841,0.846190333366394,-18.146615624427795,-29.394223392009735,-18.15[m s^-1] | -29.39[m s^-1]
18,0.04128642040279301,0.458713579597207,0.7973229885101318,-0.2597090005874634,-2.2001558542251587,-34.588403403759,-2.20[m s^-1] | -34.59[m s^-1]
19,-0.0028883692130919902,0.502888369213092,-0.29966437816619873,-0.43372952938079834,-8.193443417549133,-43.26299399137497,-8.19[m s^-1] | -43.26[m s^-1]
20,-0.09139716614327198,0.591397166143272,-1.0,-1.0,-28.193443417549133,-63.26299399137497,-28.19[m s^-1] | -63.26[m s^-1]
21,-0.022570295964527975,0.522570295964528,1.0,1.0,-8.193443417549133,-43.26299399137497,-8.19[m s^-1] | -43.26[m s^-1]
22,-0.03694601127173902,0.536946011271739,1.0,-1.0,11.806556582450867,-63.26299399137497,11.81[m s^-1] | -63.26[m s^-1]
23,-0.003631918115742039,0.503631918115742,0.2962541878223419,1.0,17.731640338897705,-43.26299399137497,17.73[m s^-1] | -43.26[m s^-1]
24,-0.0020462365192049914,0.502046236519205,0.5655696392059326,-0.26631271839141846,29.043033123016357,-48.58924835920334,29.04[m s^-1] | -48.59[m s^-1]
25,-0.039927157999008034,0.539927157999008,-1.0,0.09331364929676056,9.043033123016357,-46.72297537326813,9.04[m s^-1] | -46.72[m s^-1]
26,-0.058496896893071026,0.558496896893071,-0.6179757118225098,-0.3089556097984314,-3.316481113433838,-52.902087569236755,-3.32[m s^-1] | -52.90[m s^-1]
27,-0.06825420778857305,0.568254207788573,0.3136793375015259,-1.0,2.9571056365966797,-72.90208756923676,2.96[m s^-1] | -72.90[m s^-1]
28,-0.07478438216140604,0.574784382161406,0.2253749668598175,-0.6138843297958374,7.46460497379303,-85.1797741651535,7.46[m s^-1] | -85.18[m s^-1]
29,-0.09176072855178496,0.591760728551785,-0.10612490773200989,0.3027682602405548,5.342106819152832,-79.12440896034241,5.34[m s^-1] | -79.12[m s^-1]
30,-0.17148455792766304,0.671484557927663,-1.0,-0.05225895345211029,-14.657893180847168,-80.16958802938461,-14.66[m s^-1] | -80.17[m s^-1]
31,-0.21978522938471712,0.7197852293847171,-0.3459526300430298,-1.0,-21.576945781707764,-100.0,-21.58[m s^-1] | -100.00[m s^-1]
